n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,0.5629285339663432,913.1488113765434,0.7589163459199285
3,0.5373371580650033,1275.1696288357732,0.6998022756446431
4,0.4502128084571461,1140.81265907331,0.8470237567834074
5,0.4685841411033723,1274.5863771370234,0.8386869556973566
6,0.49331759674201003,1226.275812141499,0.8198783669555024
7,0.43700271778451855,1207.997189382357,0.8184970557918068
8,0.4218793024202121,1218.0916845509596,0.8019093106063421
9,0.4179750294106754,1240.4223303719525,0.845313640105315
10,0.41142210946745866,1224.9239048506636,0.8441992954974934
11,0.4047091151004828,1192.1798806596673,0.8617446817744387
12,0.4195585425417688,1205.7281183749496,0.8513211076092766
13,0.42181100441120967,1188.7981505816645,0.8601766830042166
14,0.43521584013228826,1289.8227314894896,0.789522932344485
15,0.43818921155861834,1295.5426540793806,0.7873437255259155
